----------------------------------------
Begin Torque Prologue (Mon May  4 13:07:20 2020)
Job ID:           10847702.cc-mgmt1.campuscluster.illinois.edu
Username:         stv3
Group:            sp20-cs543r-eng
Job Name:         vanilla_script
Limits:           walltime=04:00:00,nodes=1:ppn=16:P100,neednodes=1:ppn=16:P100
Job Queue:        eng-instruction
Account:          eng-instruction
Nodes:            ccc0058
End Torque Prologue
----------------------------------------
/home/stv3/.conda/envs/cv/lib/python3.7/site-packages/torch/nn/functional.py:52: UserWarning: size_average and reduce args will be deprecated, please use reduction='elementwise_mean' instead.
  warnings.warn(warning.format(ret))
2020-05-04 13:08:20,573 : Train time 00h 00m 53s Batch 60 CEloss 1.7449144124984741
2020-05-04 13:08:21,455 : Train time 00h 00m 54s Batch 61 CEloss 1.7852883338928223
2020-05-04 13:08:22,250 : Train time 00h 00m 55s Batch 62 CEloss 1.7751277685165405
2020-05-04 13:08:23,145 : Train time 00h 00m 56s Batch 63 CEloss 1.921265959739685
2020-05-04 13:08:23,973 : Train time 00h 00m 56s Batch 64 CEloss 1.7170453071594238
2020-05-04 13:08:24,823 : Train time 00h 00m 57s Batch 65 CEloss 1.749671220779419
2020-05-04 13:08:25,665 : Train time 00h 00m 58s Batch 66 CEloss 1.7100685834884644
2020-05-04 13:08:26,571 : Train time 00h 00m 59s Batch 67 CEloss 1.6754522323608398
2020-05-04 13:08:27,467 : Train time 00h 01m 00s Batch 68 CEloss 2.006056785583496
2020-05-04 13:08:28,370 : Train time 00h 01m 01s Batch 69 CEloss 1.7412751913070679
2020-05-04 13:08:29,196 : Train time 00h 01m 02s Batch 70 CEloss 1.7007253170013428
2020-05-04 13:08:30,051 : Train time 00h 01m 02s Batch 71 CEloss 1.5796990394592285
2020-05-04 13:08:30,852 : Train time 00h 01m 03s Batch 72 CEloss 1.7734249830245972
2020-05-04 13:08:31,680 : Train time 00h 01m 04s Batch 73 CEloss 1.5585821866989136
2020-05-04 13:08:32,543 : Train time 00h 01m 05s Batch 74 CEloss 1.8442374467849731
2020-05-04 13:08:33,413 : Train time 00h 01m 06s Batch 75 CEloss 1.7296143770217896
2020-05-04 13:08:34,359 : Train time 00h 01m 07s Batch 76 CEloss 1.8753734827041626
2020-05-04 13:08:35,142 : Train time 00h 01m 08s Batch 77 CEloss 1.4627087116241455
2020-05-04 13:08:35,971 : Train time 00h 01m 08s Batch 78 CEloss 1.539131999015808
2020-05-04 13:08:36,834 : Train time 00h 01m 09s Batch 79 CEloss 1.5565359592437744
2020-05-04 13:08:37,681 : Train time 00h 01m 10s Batch 80 CEloss 1.4998549222946167
